company_name;industry;address;phone;website;municipality;data_source;source_file
Gomes Barreto - Atelier de Arquitectura;Architect;R. Torcato José Clavine 15C 1drt, 2800-592 Almada, Portugal;+351 919 847 511;http://www.gomesbarreto.pt/;almada;Google Maps;google_maps_almada.csv
Urban Obras Almada;Architect;R. do Cabo da Boa Esperança nº41A, 2805-109 Almada, Portugal;+351 21 276 5464;https://www.urbanobras.pt/orcamento/;almada;Google Maps;google_maps_almada.csv
Atelier 28 Arquitectos;Architect;R. Cap. Leitão 28 1º Esquerdo, 2800-132 Almada, Portugal;;http://www.arqatelier28.com/;almada;Google Maps;google_maps_almada.csv
Arkhi - Arquiteto - Almada;Architect;Quarteirão das Artes, R. Conde Ferreira 3, 2800-251 Almada, Portugal;;https://arkhi.pt/;almada;Google Maps;google_maps_almada.csv
TECTO STUDIO;Architecture firm;Tv. da Praia 1, 2805-193 Almada, Portugal;;http://tectostudio.com/;almada;Google Maps;google_maps_almada.csv
Plotarch Studio;Architecture firm;R. Dr. António José de Almeida 29B 3º 7, 2805-084 Almada, Portugal;+351 910 878 240;https://www.plotachstudio.com/;almada;Google Maps;google_maps_almada.csv
Um Cem Arquitectura Lda;Architect;R. Maj. Castelino Pais 8 A, 2805-113 Almada, Portugal;+351 21 276 3196;https://umcem.pt/;almada;Google Maps;google_maps_almada.csv
Hedape - Arquitectura e Engenharia;Civil engineering company;R. Rosas do Pombal 22, 2805-238 Almada, Portugal;+351 21 274 3350;https://hedape.wixsite.com/hedape;almada;Google Maps;google_maps_almada.csv
Arqar - Certificação Energética;Architect;;;;almada;Google Maps;google_maps_almada.csv
Doutor Martelo;Home builder;R. Maj. Castelino Pais 10, 2805-113 Almada, Portugal;+351 919 682 087;http://www.doutormartelo.pt/;almada;Google Maps;google_maps_almada.csv
DCInterior;Interior designer;R. José Gomes Alvarenga 13A, 2805-182 Almada, Portugal;+351 910 341 717;https://www.instagram.com/dcinterior.design/;almada;Google Maps;google_maps_almada.csv
Husimo - Real Estate & Home Designers;Real estate agent;Business Center, R. Marcos de Assunção 2D, 2805-290 Almada, Portugal;+351 932 257 157;https://www.husimo.com/;almada;Google Maps;google_maps_almada.csv
ACArq.;Architect;R. António Nobre 1D 3D, 2800-260 Almada, Portugal;+351 927 034 871;;almada;Google Maps;google_maps_almada.csv
Levantamentos arquitetonicos e topograficos;Architect;2855-202 Corroios, Portugal;+351 915 140 808;http://www.davfre.jimdofree.com/;almada;Google Maps;google_maps_almada.csv
M3M Arquitetura;Architect;Av. 25 de Abril de 1974 41A, 2800-303 Almada, Portugal;+351 913 122 416;http://m3m.pt/;almada;Google Maps;google_maps_almada.csv
Martina Arch | Lisboa;Architect;Praça, Largo Adelino Amaro da Costa 8 2ºD, 1100-006 Lisboa;924 234 507;https://www.martinaarch.com/;almada;Google Maps;google_maps_almada.csv
BMA Group Lisboa - Magic Place;Construction Company;Rua Rui Teles Palhinha 10 2.º F, 2740-278 Porto Salvo;912 424 724;http://www.bmagrouplisboa.pt/;almada;Google Maps;google_maps_almada.csv
ARCHFACTOR, LDA.;Architect;R. Ramiro Ferrão 29, 2805-356 Almada, Portugal;+351 21 193 7458;http://www.archfactor.com/;almada;Google Maps;google_maps_almada.csv
Arquitecturamais Almada;Architect;Parque Tecnológico Mutela Edf.3, Gabinetes R207 2804- 537, 2804-537 Almada, Portugal;+351 21 084 7849;;almada;Google Maps;google_maps_almada.csv
Catarina Reis | Arquitetura, Design de Interiores e Planeamento;Architecture firm;Estr. Algazarra 39, 2810-015 Almada, Portugal;+351 913 030 443;https://www.linkedin.com/in/catarina-amaral-dos-reis-426823160/;almada;Google Maps;google_maps_almada.csv
Graziela Madeira - Design de Interiores;Interior designer;Av. Bento Gonçalves 37C, 2805-100 Almada, Portugal;+351 21 274 9050;https://www.grazielamadeira.pt/;almada;Google Maps;google_maps_almada.csv
Diviprojecto-projectos E Divisão De Espaços, Lda.;Architect;R. Joaquim Pires Jorge 9, 2810-083 Almada, Portugal;+351 21 250 9610;;almada;Google Maps;google_maps_almada.csv
SNA Arquitetura LDA;Architecture firm;R. Torcato José Clavine 3, Almada, Portugal;+351 21 274 8273;http://www.salvadorneto.com/;almada;Google Maps;google_maps_almada.csv
Arquiqual;Architect;R. Cidade de Amadora 6, 2855-118 Corroios, Portugal;+351 21 253 4688;http://www.arquiqual.com/;almada;Google Maps;google_maps_almada.csv
Tiago Salvador - Arquitectos;Architecture firm;Rua da Judiaria 14, 2800-125 Almada, Portugal;;;almada;Google Maps;google_maps_almada.csv
Carlos Alberto Gomes;Architecture firm;R. Ramiro Ferrão 26 r/c, 2805-346 Almada, Portugal;+351 21 274 8073;;almada;Google Maps;google_maps_almada.csv
Casa Viva Obras;Architect;Rua das Flores 16 2 2º Dto, 2810-217 Almada, Portugal;+351 914 035 242;http://www.casavivaobras.pt/;almada;Google Maps;google_maps_almada.csv
Quali+ Consultoria - Sede - Estudos e Sistemas de Qualidade ,lda;Architect;Rua Dr. António Elvas 14, 1.º- Laranjeiro, 2810-164 Almada, Portugal;+351 21 073 8885;;almada;Google Maps;google_maps_almada.csv
MURiiU;Interior designer;R. Gil Anes da Costa 5, 2800-097 Almada, Portugal;+351 912 448 942;;almada;Google Maps;google_maps_almada.csv
KM-DESIGNER DE INTERIORES, LDA;Architect;Av. 25 de Abril 5B, 2855-725 Corroios, Portugal;+351 910 528 445;https://km-designdeinteriores.com/contacto;almada;Google Maps;google_maps_almada.csv
Alexandra Cristina Morais Gomes;Graphic designer;Praça Movimento das Forças Armadas 7, 2800-171 Almada, Portugal;+351 21 083 3058;;almada;Google Maps;google_maps_almada.csv
Vangor Interior Design Almada | Decoração de Interiores;Interior designer;R. do Cabo da Boa Esperança 41A, 2805-109 Almada, Portugal;+351 21 276 5464;https://www.vangor.pt/;almada;Google Maps;google_maps_almada.csv
Espaço Escrito, Arquitectura, Lda.;Architect;;+351 963 364 655;https://espacoescrito.weebly.com/;almada;Google Maps;google_maps_almada.csv
Vee Mateus | Tattoos - Art Prints - Murals - Designer Clothing - Workshops;Tattoo artist;Av. 25 de Abril de 1974 3B 2 Frt, 2800-300 Almada, Portugal;+351 928 048 908;https://form.jotform.com/243325447160351;almada;Google Maps;google_maps_almada.csv
ERA Almada;Real estate agency;R. Manuel Parada 1 A, 2800-700 Almada, Portugal;+351 21 274 8257;https://www.era.pt/agencias/almada?google=;almada;Google Maps;google_maps_almada.csv
Virtual Projectos-arquitectura Engenharia Lda;Architect;Av. 25 de Abril 64, 2855-591 Corroios, Portugal;+351 21 255 2315;;almada;Google Maps;google_maps_almada.csv
Kali Group;Architectural designer;;+351 933 959 746;https://funerariavoa.pt/contactos/;almada;Google Maps;google_maps_almada.csv
Gabinete de Arquitetura Lisboa - spacelovers;Architect;Calçada da Tapada 67 2E, 1300-546 Lisboa, Portugal;+351 969 010 330;https://spacelovers.pt/;almada;Google Maps;google_maps_almada.csv
Vizual Estúdio - Arquitectura;Architect;;+351 912 688 608;https://www.vizualestudio.pt/;almada;Google Maps;google_maps_almada.csv
Anagrama Design;Graphic designer;R. Dom Álvaro Abranches da Câmara 15, 2800-015 Almada, Portugal;+351 962 530 920;;almada;Google Maps;google_maps_almada.csv
NUVEM LINEAR - COZINHAS, LDA;Interior designer;Praça Lopes Graça 16, 2810-436 Almada, Portugal;+351 21 165 4416;http://www.nuvemlinear.pt/;almada;Google Maps;google_maps_almada.csv
Sidney Quintela Architecture + Urban Planning;Architect;Cais do Gás Armazém H, 1200-109 Lisboa, Portugal;+351 21 091 2140;http://www.sidneyquintela.com/;almada;Google Maps;google_maps_almada.csv
UO Almada Atelier;Architecture firm;;+351 21 276 5464;https://urbanobras.pt/;almada;Google Maps;google_maps_almada.csv
Urban Obras Amadora SO;Building firm;R. Dr. Francisco Sá Carneiro R/C esq, 22 a 22-B, 2720-197 Amadora, Portugal;+351 928 037 485;http://www.urbanobras.pt/;amadora;Google Maps;google_maps_amadora.csv
Quadrante;Engineering consultant;Estrada do Seminário 4 Edifício C - Piso 1, 2614-523 Amadora, Portugal;+351 21 006 7200;https://quadranteglobal.com/;amadora;Google Maps;google_maps_amadora.csv
Arquitectos Ribeiro Ramos;Architect;Av. Dom Luís I 41 4dto, 2610-053 Amadora, Portugal;+351 938 448 690;;amadora;Google Maps;google_maps_amadora.csv
ErgoDesign;Architect;Rua Elias Garcia, Nº362 D, Piso 3 Sala 3, 2700-337 Amadora, Portugal;+351 21 150 5423;http://www.ergodesign.pt/;amadora;Google Maps;google_maps_amadora.csv
Sacramento Campos Projectos e Serviços, S.A.;Architect;Estrada do Zambujal nº 38A, 2610-294 Amadora, Portugal;+351 21 301 9926;http://www.scps.pt/;amadora;Google Maps;google_maps_amadora.csv
Barata-Feyo & Associados;Architect;R. Pinheiro Borges 22B, 2610-140 Amadora, Portugal;+351 21 471 4003;http://www.bfassoc.pt/;amadora;Google Maps;google_maps_amadora.csv
Pedro Almeida Carvalho,arquitecto-projectos,consultoria E Formação Em Construção Civil Lda;Architect;Av. D. Luís I, 15, cv dta, Alfragide, 2610-055 Amadora, Portugal;+351 21 301 2843;http://www.pacarq.com/;amadora;Google Maps;google_maps_amadora.csv
9 Squares Visualization;Architecture firm;Av. João Paulo II 6, Damaia, 2720-811 Amadora, Portugal;+351 917 979 802;https://www.9squaresviz.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5248260954292117050;amadora;Google Maps;google_maps_amadora.csv
Jardins do Paço - Arquitectura Paisagista, S.A.;Landscape architect;Estr. de Alfragide 67, 2610-008 Amadora, Portugal;+351 21 471 5757;https://jardinsdopaco.pt/;amadora;Google Maps;google_maps_amadora.csv
Alx Construção Remodelação;Home builder;R. Florbela Espanca, 2700-386 Amadora, Portugal;+351 910 861 446;https://alxremodelacao.pt/;amadora;Google Maps;google_maps_amadora.csv
Espaços Renovados - Remodelações, Obras e Arquitetura;Home builder;Avenida Dr. José Pontes, 43B Atelier B, 2720-205 Amadora, Portugal;+351 21 587 1707;https://www.facebook.com/espacosrenovados;amadora;Google Maps;google_maps_amadora.csv
Mónica d'Araújo · Feng Shui Design Concept;Feng shui consultant;R. Henrique Paiva Couceiro 10, 2700-453 Amadora, Portugal;+351 917 973 679;https://www.monicaaraujo.net/;amadora;Google Maps;google_maps_amadora.csv
Wteam;Architecture firm;Rua das Fontainhas 51-51-A, sala 2.34 e 2.35, Marmar VI, 2700-391 Amadora, Portugal;+351 928 159 165;http://wteam.pt/;amadora;Google Maps;google_maps_amadora.csv
ERGOPROJECT-ARQUITECTURA & ENGENHARIA ASSOCIADOS LDA;Architect;Edifício Amadora Trade Center, Rua Dona Inês de Castro Nº 17C Sala 5, R. Dona Inês de Castro 17, 2720-193 Amadora, Portugal;+351 21 150 5423;;amadora;Google Maps;google_maps_amadora.csv
ITEM BY ITEM;Architecture firm;Centro Comercial Colina do Sol, Praceta Manuela Porto 1 Loja 5, 2650-191 Amadora, Portugal;+351 965 510 163;https://www.itembyitem.pt/;amadora;Google Maps;google_maps_amadora.csv
Grupo MG;Interior architect office;Rua Espregueira Mendes 8, Damaia, 2720-076 Amadora, Portugal;+351 21 496 2557;;amadora;Google Maps;google_maps_amadora.csv
Miranda Studio 3D;Architect;;;;amadora;Google Maps;google_maps_amadora.csv
Óscar Knoblich-arquitectura Paisagista,planeamento E Consultoria Ambiental Sociedade Unipessoal Lda;Landscape architect;R. do Cerrado das Oliveiras 12 loja12A, 2720-096 Amadora, Portugal;+351 21 471 6435;;amadora;Google Maps;google_maps_amadora.csv
Arq. António Teodósio Ferreira;Architect;Praça Augusto Cabrita, 2610-288 Amadora, Portugal;+351 919 035 399;http://www.arqaf.pt/;amadora;Google Maps;google_maps_amadora.csv
Atelier AV;Architecture firm;;+351 965 355 465;;amadora;Google Maps;google_maps_amadora.csv
Ligrate-atelier Gráfico Lda;Graphic designer;R. Augusto Gil 21, 2650-373 Amadora, Portugal;+351 21 498 6550;http://www.ligrate.com/;amadora;Google Maps;google_maps_amadora.csv
Tomás Salles Arquitectos;Architect;R. Miguel Torga nº2C Piso 3, Loja 14, 2610-086 Amadora, Portugal;;http://www.salles.pt/;amadora;Google Maps;google_maps_amadora.csv
Home&Life Design;Interior designer;;;http://www.salomeletras.com/;amadora;Google Maps;google_maps_amadora.csv
Bagu Studio;Graphic designer;Praceta Infante Dom Pedro 5 1º Direito, 2700-467 Amadora, Portugal;+351 918 974 132;https://www.bagu-studio.com/;amadora;Google Maps;google_maps_amadora.csv
Vangor Interior Design Oeiras SO | Decoração de Interiores;Interior designer;R. Dr. Francisco Sá Carneiro R/C esq, 22 a 22-B, 2720-197 Amadora, Portugal;+351 928 037 485;https://www.vangor.pt/;amadora;Google Maps;google_maps_amadora.csv
Urbanização SkyCity;Housing complex;Praça da Serra, Amadora, Portugal;+351 21 837 1025;https://www.skycity.pt/;amadora;Google Maps;google_maps_amadora.csv
Atelier R96;Interior designer;;+351 21 711 1300;;amadora;Google Maps;google_maps_amadora.csv
92 Arquitectos Alfragide;Architect;R. do Cerrado das Oliveiras 12 r/c B, 2610-035 Amadora, Portugal;+351 21 472 0800;https://www.92arquitectos.pt/;amadora;Google Maps;google_maps_amadora.csv
Polyline - Arquitetura e Engenharia;Architect;Av. Q.ta Grande N.º 22 Loja 25, 2610-161 Amadora, Portugal;+351 925 448 484;;amadora;Google Maps;google_maps_amadora.csv
bê á bá - creative details studio;Graphic designer;Av. Luís Sá 22 loja E, 11B, 2700-181 Amadora, Portugal;+351 917 734 529;https://www.beabastudio.com/contatos;amadora;Google Maps;google_maps_amadora.csv
CS REMODELAÇÕES;Painter;Tv. da Quinta do Pau 10, 2700-298 Amadora, Portugal;+351 938 267 400;https://www.welinkbuilders.pt/remodelacao/designer-de-interiores/decorador-de-interiores/eletricista/ladrilhador/carpinteiro/pedreiro/pintor/estucador/canalizador/microcimento/reabilitacao/2700-298-amadora-portugal/cs-remodelacoes-351;amadora;Google Maps;google_maps_amadora.csv
Pereira & Coutinho S.A.;Construction company;Av. da, Av. Q.ta Grande 91 Loja A, 2610-284, Portugal;+351 21 472 8500;;amadora;Google Maps;google_maps_amadora.csv
CSP Group;Architect;R. Henrique Paiva Couceiro 10 Sala 39, 2700-453 Amadora, Portugal;+351 928 121 507;https://cspgroup.pt/;amadora;Google Maps;google_maps_amadora.csv
Square 21;Building firm;Av. Miguel Bombarda 39, 2700-581 Amadora, Portugal;+351 919 503 389;;amadora;Google Maps;google_maps_amadora.csv
GRAU+ | Arquitectura e Urbanismo;Architect;;+351 918 063 607;https://www.instagram.com/grau.mais/;amadora;Google Maps;google_maps_amadora.csv
BF INTERIOR DESIGNER;Interior designer;;+351 918 938 232;http://bfinteriordesigner.com/;amadora;Google Maps;google_maps_amadora.csv
This Little Room;Interior designer;R. do Moinho da Galega 10 A, 2700-591 Amadora, Portugal;+351 912 630 336;http://www.thislittleroom.pt/;amadora;Google Maps;google_maps_amadora.csv
Oficina das Formas;Industrial design company;Av. Almeida Garrett 6, 2610-295 Amadora, Portugal;+351 21 160 8871;http://oficinadasformas.pt/;amadora;Google Maps;google_maps_amadora.csv
Deborah Aureliano - Designer Grafico;Graphic designer;Rua das Fontaínhas 51 3° ANDAR, 2700-391 Amadora, Portugal;+351 925 460 076;;amadora;Google Maps;google_maps_amadora.csv
CURVA ASSIMÉTRICA, LDA;Architecture firm;;+351 911 595 647;https://www.linkedin.com/in/curva-assimetrica/;amadora;Google Maps;google_maps_amadora.csv
Diogo Ribeiro | Design Gráfico & Gestão de Redes Sociais;Graphic designer;Av. António Sérgio, 2720-045 Amadora, Portugal;+351 934 525 945;;amadora;Google Maps;google_maps_amadora.csv
Daniel Braga - Engenharia Unipessoal LDA;Home builder;;+351 934 608 710;;amadora;Google Maps;google_maps_amadora.csv
Joaedron Painter of Alfragide;Graphic designer;R. Nuno Ferrari 1, 2610-289 Amadora, Portugal;+351 968 439 766;https://joaedron.wixsite.com/joaedron;amadora;Google Maps;google_maps_amadora.csv
BFA - Bruno e Filipe, Arquitectos e Associados, Lda.;Architect;PCT das Gaias 10, 2610-081 Buraca, Portugal;+351 21 938 4036;http://www.bfa.pt/;amadora;Google Maps;google_maps_amadora.csv
Argarte-Estudio De Artes Graficas, Lda.;Graphic designer;R. Dom Duarte 6, 2700-324 Amadora, Portugal;+351 21 491 3704;;amadora;Google Maps;google_maps_amadora.csv
Arqma arquitectura;Architect;;+351 961 900 808;;amadora;Google Maps;google_maps_amadora.csv
Jardins de Adónis;Landscaper;R. Branquinho da Fonseca 14, 2700-128 Amadora, Portugal;+351 933 864 310;https://jardinsdeadonis.pt/;amadora;Google Maps;google_maps_amadora.csv
Mundo Verde Jardins;Gardener;R. Herculano de Carvalho 1, 2720-270 Amadora, Portugal;+351 920 655 135;https://www.mundoverdejardins.com/;amadora;Google Maps;google_maps_amadora.csv
techNo Designs;Graphic designer;Av. Padre Bartolomeu de Gusmão 23, Damaia, 2720-402 Amadora, Portugal;+351 964 115 168;;amadora;Google Maps;google_maps_amadora.csv
Necrópole de Carenque;Archaeological site;Carenque, Amadora, Portugal;+351 21 436 9090;https://www.cm-amadora.pt/cultura/museu-municipal-de-arqueologia/674-nucleo-monografico-da-necropole-de-carenque-2.html;amadora;Google Maps;google_maps_amadora.csv
Small is BIG;Architect;;;https://www.smallisbig.pt/;amadora;Google Maps;google_maps_amadora.csv
Libat Garden;Interior architect office;R. Pinheiro Borges, 2610-140 Amadora, Portugal;+351 967 392 431;;amadora;Google Maps;google_maps_amadora.csv
Treze Ponto Nove-Atelier De Publicidade E Artes Graficas, Lda.;Graphic designer;Av. dos Cravos Vermelhos 12, 2720-053 Amadora, Portugal;+351 21 495 3922;;amadora;Google Maps;google_maps_amadora.csv
Unike Studio;Furniture store;R. José António de Jesus Barreto 14, 2610-182 Amadora, Portugal;;https://www.facebook.com/UNIKESTUDIO/;amadora;Google Maps;google_maps_amadora.csv
J. Coelho-Artes Graficas, Lda.;Graphic designer;Praceta João Saldanha 13, Damaia, 2720-166 Amadora, Portugal;+351 21 497 2952;;amadora;Google Maps;google_maps_amadora.csv
Plastiobra-decoração De Interiores Lda;Interior designer;R. Heróis de Dadra 3 A, Damaia, 2720-274 Amadora, Portugal;+351 919 216 841;http://www.plastiobra.pt/;amadora;Google Maps;google_maps_amadora.csv
Alto Impetu, Lda.;Home builder;R. Dr. Francisco Sá Carneiro 7, 2720-196 Amadora, Portugal;+351 21 986 2344;https://www.facebook.com/profile.php?id=100090651944755;amadora;Google Maps;google_maps_amadora.csv
Alex Pereira dos Santos Unipessoal Lda;Painter;Estrada da Falagueira 1, 2700-356 Amadora, Portugal;+351 964 463 222;https://www.welinkbuilders.pt/eletricista/ladrilhador/carpinteiro/pedreiro/pintor/estucador/canalizador/remodelacao/reabilitacao/2700-356-amadora-portugal/alex-pereira-dos-santos-unipessoal-lda-222;amadora;Google Maps;google_maps_amadora.csv
Sócios Gráfica-artes Gráficas Lda.;Graphic designer;R. Gonçalves Ramos 11A, 2700-856 Amadora, Portugal;+351 21 494 3214;;amadora;Google Maps;google_maps_amadora.csv
Mundo ao Quadrado;Graphic designer;R. Carvalho Araújo 81 B, Damaia, 2720-698 Amadora, Portugal;+351 21 601 6866;http://www.mundoaoquadrado.com/;amadora;Google Maps;google_maps_amadora.csv
Mendes Projetos - Construção e remodelação em geral;Construction company;R. 25 de Abril 34, 2650-061 Amadora, Portugal;+351 915 098 446;http://wa.me/351915098446;amadora;Google Maps;google_maps_amadora.csv
CyberDesign - Informática e Serviços;Graphic designer;R. Alice Leite 5, 2700-324 Amadora, Portugal;+351 961 124 354;http://www.cyberdesign.webnode.pt/;amadora;Google Maps;google_maps_amadora.csv
SFRAA - Sociedade Filarmónica de Apoio Social e Recreio Artístico da Amadora;Recreation center;R. Elias Garcia 142, 2700-331 Amadora, Portugal;+351 21 493 4561;http://www.sfraa.pt/;amadora;Google Maps;google_maps_amadora.csv
Photorealistic 3D renderings & animations for architects, developers & real estate in Lisbon.;Architectural designer;;+351 917 979 802;https://www.9squaresviz.com/;amadora;Google Maps;google_maps_amadora.csv
Third Skin - Architecture Agency;Architect;;;https://thirdskinarchitecture.com/feasibilitycall;amadora;Google Maps;google_maps_amadora.csv
Con´amor;Graphic designer;R. Correia Teles, 2720-135 Amadora, Portugal;+351 938 465 750;;amadora;Google Maps;google_maps_amadora.csv
Foto Restauros;Graphic designer;2724-510 Amadora, Portugal;+351 921 085 844;https://www.facebook.com/foto.restauros;amadora;Google Maps;google_maps_amadora.csv
Ricardo Marques fotografia de arquitetura;Photography service;R. Brg. José André da Silva 1, 2700-372 Amadora, Portugal;+351 910 218 134;http://www.ricardomarquesfotografia.pt/;amadora;Google Maps;google_maps_amadora.csv
Arrudarq, Lda;Architecture firm;R. Heliodoro Salgado 16 1 Fte, 2630-242 Arruda dos Vinhos, Portugal;+351 263 098 943;http://www.arrudarq.pt/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
O Polícia;Building materials store;Urbanização Industrial Santo António, lote 1, 2630-328 Arruda dos Vinhos, Portugal;+351 263 979 190;https://www.opolicia.pt/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
FMJPC Arquitetura e Design;Architect;Rua Nossa Senhora da Conceição Centro Empresarial de A-do-Mourão, Fração D, 2630-506 Arruda dos Vinhos, Portugal;+351 912 048 030;http://www.fmjpc.com/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
Planética - Projectos e Construções, S.A.;Home builder;Galerias da Villa, Av. Dom Afonso Henriques Loja 1, 2630-232 Arruda dos Vinhos, Portugal;+351 263 974 266;http://www.planetica.pt/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
MARIA MENINO - Interiores;Interior designer;RUA NOSSA SENHORA DA CONCEIÇÃO, CENTRO EMPRESARIAL A DO MOURAO, D, 2630-506 Arruda dos Vinhos, Portugal;+351 21 968 1911;https://mariamenino.com/pt/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
Atelier Erva Arruda;Dressmaker;R. de Moixent 67, 2630-289 Arruda dos Vinhos, Portugal;+351 964 887 354;http://www.ervaarruda.com/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
Formato Magento;Advertising agency;2630-310 Arruda dos Vinhos, Portugal;+351 21 390 3791;http://www.graficaiprint.pt/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
IRF Virtual Assistance;Design agency;R. Irene Lisboa 48, 2630-246 Arruda dos Vinhos, Portugal;+351 937 971 496;;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
CERAMED;Flooring store;Zona Industrial das Corredouras Lote 14-15, 2630-369 Arruda dos Vinhos, Portugal;+351 263 099 717;https://ceramed-coatings.com/;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
Louro & Nascimento-Construções, Lda.;Building materials store;Casal Do Romanço, Arruda Dos Vinhos, Lisboa, Portugal;+351 919 691 396;;Arruda_dos_Vinhos;Google Maps;google_maps_Arruda_dos_Vinhos.csv
FESTO - GABINETE DE ARQUITECTURA,PLANEAMENTO E CONSULTADORIA IMOBILIÁRIA LDA‎;Architect;Tv. dos Quintais 6, 2830-400 Barreiro, Portugal;+351 21 207 1624;http://www.festoarquitectura.com/;barreiro;Google Maps;google_maps_barreiro.csv
SFRG Architects;Architecture firm;R. Miguel Pais 121A3, 2830-356 Barreiro, Portugal;;http://www.sfrg.pt/;barreiro;Google Maps;google_maps_barreiro.csv
Juliana Batista - Arquitectura e Design de Interiores;Architect;Barreiro PT, Praça Eduardo José de Almeida Fernandes 6B, 2835-337 Lavradio, Portugal;+351 21 155 1706;http://www.julianabatista.pt/;barreiro;Google Maps;google_maps_barreiro.csv
ECOARQ - Arquitectura e Certificação Energética, Lda;Architect;Av. Alfredo da Silva 14, 2830-302 Barreiro, Portugal;+351 21 086 5313;https://www.facebook.com/Ecoarq-Arquitectura-e-Sustentabilidade-Energ%C3%A9tica-163820547060627/;barreiro;Google Maps;google_maps_barreiro.csv
Progesto-Gabinete Tecnico De Gestão Arquitectura E Planeamento, Lda.;Architect;Av. Alfredo da Silva 27, 2830-346 Barreiro, Portugal;+351 21 599 7799;http://www.miguelamadoarquitectos.pt/;barreiro;Google Maps;google_maps_barreiro.csv
PENDENTE - estudos e projectos;Architect;Avenida da República 9 1º esq, 2830-305 Barreiro, Portugal;+351 913 944 395;;barreiro;Google Maps;google_maps_barreiro.csv
